BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
000340001900,"ТОО ""МЕЛИОРАТОР""",41202,Строительство нежилых зданий,431047100,п. ТАСБУГЕТ,305,Крупное предприятие (251 - 500 чел.)
000341006074,"КЫЗЫЛОРДИНСКИЙ ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРУП 4 СЕКУРИКОР КАЗАХСТАН""",80100,Деятельность частных охранных служб,431010000,г. Кызылорда,305,Крупное предприятие (251 - 500 чел.)
001040003125,"ГОС. КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА № 6"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ",86210,Общая врачебная практика,431010000,г. Кызылорда,305,Крупное предприятие (251 - 500 чел.)
010240002103,"ТОО ""СПМК""",49410,Грузовые перевозки автомобильным транспортом,431010000,г. Кызылорда,305,Крупное предприятие (251 - 500 чел.)
010240003934,"ТОО ""Кызылорда-АГРОСЕРВИС""",01120,Выращивание риса,431010000,г. Кызылорда,305,Крупное предприятие (251 - 500 чел.)
011241000462,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" - ""КЫЗЫЛОРДИНСКАЯ ДИСТАНЦИЯ ЭЛЕКТРОСНАБЖЕНИЯ""",35130,Распределение электроэнергии,431010000,г. Кызылорда,305,Крупное предприятие (251 - 500 чел.)
020140001897,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""КЫЗЫЛОРДИНСКАЯ ОБЛАСТНАЯ ДЕТСКАЯ БОЛЬНИЦА С КОНСУЛЬТАТИВНО- ДИАГНОСТИЧЕСКОЙ ПОЛИКЛИНИКОЙ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,431010000,г. Кызылорда,305,Крупное предприятие (251 - 500 чел.)
020140003196,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ СПЕЦИАЛИЗИРОВАННОЙ СЛУЖБЫ ОХРАНЫ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН""",84240,Деятельность по обеспечению общественного порядка и безопасности,431010000,г. Кызылорда,305,Крупное предприятие (251 - 500 чел.)
020341000603,"ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПАНИЯ ""ЖОЛ ЖӨНДЕУШІ"" ""КЫЗЫЛОРДИНСКАЯ ДИРЕКЦИЯ ПО РЕМОНТУ ПУТИ""",42120,Строительство железных дорог и метро,431037100,п. БЕЛКОЛЬ,305,Крупное предприятие (251 - 500 чел.)
021140001861,"ТОО ""ТУРМАГАМБЕТ""",01120,Выращивание риса,434639100,с. ТУРМАГАНБЕТ,305,Крупное предприятие (251 - 500 чел.)
