BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
990240005438,"Республиканское государственное предприятие на праве хозяйственного ведения ""КАЗАХСКИЙ ГОСУДАРСТВЕННЫЙ ЖЕНСКИЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ"" МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ КАЗАХСТАН",85420,Высшее образование,751110000,"г. Алматы, АЛМАЛИНСКИЙ РАЙОН",311,Крупное предприятие (от 1001 чел.)
990240005606,"Республиканское государственное предприятие на праве хозяйственного ведения ""КАЗАХСКИЙ НАЦИОНАЛЬНЫЙ АГРАРНЫЙ УНИВЕРСИТЕТ"" МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ КАЗАХСТАН",85420,Высшее образование,751710000,"г. Алматы, МЕДЕУСКИЙ РАЙОН",311,Крупная компания (от 1001 чел.)
990240007246,"Республиканское государственное предприятие на праве хозяйственного ведения ""КАЗАХСКИЙ НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ ИМЕНИ С.Д. АСФЕНДИЯРОВА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КАЗАХСТАН",85420,Высшее образование,751110000,"г. Алматы, АЛМАЛИНСКИЙ РАЙОН",311,Крупное предприятие (от 1001 чел.)
990340005977,"Республиканское государственное предприятие ""ЦЕНТРАЛЬНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА МЕДИЦИНСКОГО ЦЕНТРА УПРАВЛЕНИЯ ДЕЛАМИ ПРЕЗИДЕНТА РЕСПУБЛИКИ КАЗАХСТАН"" НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ",86101,Деятельность больниц широкого профиля и специализированных больниц,751110000,"г. Алматы, АЛМАЛИНСКИЙ РАЙОН",311,Крупное предприятие (от 1001 чел.)
990340008397,"Республиканское государственное предприятие на праве хозяйственного ведения ""НАЦИОНАЛЬНЫЙ ЦЕНТР ПО КОМПЛЕКСНОЙ ПЕРЕРАБОТКЕ МИНЕРАЛЬНОГО СЫРЬЯ РЕСПУБЛИКИ КАЗАХСТАН"" КОМИТЕТА ПРОМЫШЛЕННОСТИ МИНИСТЕРСТВА ИНДУСТРИИ И НОВЫХ ТЕХНОЛОГИЙ РЕСПУБЛИКИ КАЗАХСТАН",72190,Прочие исследования и разработки в области естественных наук и инженерии,751310000,"г. Алматы, АУЭЗОВСКИЙ РАЙОН",311,Крупная компания (от 1001 чел.)
990540002107,"Государственное учреждение ""ДЕПАРТАМЕНТ ВНУТРЕННИХ ДЕЛ ГОРОДА АЛМАТЫ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН""",84240,Деятельность по обеспечению общественного порядка и безопасности,751110000,"г. Алматы, АЛМАЛИНСКИЙ РАЙОН",311,Крупное предприятие (от 1001 чел.)
990740000683,"АО ""АЛЬЯНС БАНК""",64191,"Деятельность банков, вексельных контор",751710000,"г. Алматы, МЕДЕУСКИЙ РАЙОН",311,Крупная компания (от 1001 чел.)
990940004405,"ТОО ""ГЕЛИОС""",47300,Розничная торговля топливом в специализированных магазинах,751110000,"г. Алматы, АЛМАЛИНСКИЙ РАЙОН",311,Крупное предприятие (от 1001 чел.)
991040000303,"ТОО ""КАСТИНГ""",24540,Литье прочих цветных металлов,751310000,"г. Алматы, АУЭЗОВСКИЙ РАЙОН",311,Крупная компания (от 1001 чел.)
991040000313,"ТОО ""КАЗФОСФАТ""",82110,Комплексное административно-управленческое обслуживание,751710000,МЕДЕУСКИЙ РАЙОН,311,Крупная организация (от 1001 чел.)
991041003591,"АЛМАТИНСКИЙ Филиал АО ""КАЗПОЧТА"" ""АЛМАТИНСКИЙ ПОЧТАМП""",53100,Почтовые услуги в соответствии с обязательствами по предоставлению услуг в зоне всеобщего охвата,751110000,"г. Алматы, АЛМАЛИНСКИЙ РАЙОН",311,Крупное предприятие (от 1001 чел.)
