BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
930640000430,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""КАСПИЙСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ТЕХНОЛОГИИ И ИНЖИНИРИНГА ИМЕНИ Ш.ЕСЕНОВА"" МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РКН",85420,Высшее образование,471010000,г. Актау,310,Крупная организация (501 - 1000 чел.)
940340000055,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""МУНАЙЛИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ МАНГИСТАУСКОЙ ОБЛАСТИ АКИМАТА МАНГИСТАУСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,475030100,с. Мангистау,310,Крупная организация (501 - 1000 чел.)
950640000959,"ТОО ""МАНГЫСТАУЭНЕРГОМУНАЙ""",33141,"Ремонт и техническое обслуживание электромоторов, генераторов и трансформаторов",471010000,г. Актау,310,Крупная организация (501 - 1000 чел.)
961040000259,"АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""АктауСКИЙ МЕЖДУНАРОДНЫЙ МОРСКОЙ ТОРГОВЫЙ ПОРТ""",52220,Услуги в области водного транспорта,471010000,г. Актау,310,Крупная организация (501 - 1000 чел.)
970840000386,"АО ""КАСКОР-ТРАНССЕРВИС""",52240,Транспортная обработка грузов,471010000,г. Актау,310,Крупная компания (501 - 1000 чел.)
970940000588,"АО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ И ПРОЕКТНЫЙ ИНСТИТУТ НЕФТИ И ГАЗА""",72190,Прочие исследования и разработки в области естественных наук и инженерии,471010000,г. Актау,310,Крупная компания (501 - 1000 чел.)
980740002033,"ТОО ""ЖОНДЕУ""",09100,Техническая поддержка при добыче нефти и природного газа,471810000,г. Жанаозен,310,Крупная организация (501 - 1000 чел.)
981240000488,"АО ""НАЦИОНАЛЬНАЯ МОРСКАЯ СУДОХОДНАЯ КОМПАНИЯ ""КАЗМОРТРАНСФЛОТ""",50200,Морской и прибрежный грузовой транспорт,471010000,г. Актау,310,Крупная компания (501 - 1000 чел.)
990340000301,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""МАНГИСТАУСКАЯ ОБЛАСТНАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ МАНГИСТАУСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,471010000,г. Актау,310,Крупная организация (501 - 1000 чел.)
990640002755,"ГОС. УЧРЕЖДЕНИЕ ""ДЕПАРТАМЕНТ ВНУТРЕННИХ ДЕЛ МАНГИСТАУСКОЙ ОБЛАСТИ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН""",84240,Деятельность по обеспечению общественного порядка и безопасности,471010000,г. Актау,310,Крупная организация (501 - 1000 чел.)
